version,use_good_ori_only,numerical_preprocess_normalization,numerical_preprocess_num_nearest_neighbor,image_preprocess_image_size,image_preprocess_normalization,image_preprocess_augmentation,image_preprocess_mask_dilation,dfu_classes,attention_type,encoder_filters,encoder_kernel_size,encoder_dropout_prob,encoder_normalization,num_group_norm,num_conv,ds_stride,imag_fcn,imag_dropout_prob,clin_fcn,clin_dropout_prob,mixed_fcn,mixed_dropout_prob,loss_name,class_weight,lr,batch_size,epoch_size
hs_48,True,standard,5,"[700, 700]",standard_global,,0,2,1,"[16, 32, 64]",3,0.25,group,8,1,2,[256],0.25,"[64, 32]",0.25,[128],0.25,weighted_CE,"[1.0, 4.0]",0.0001,4,30
hs_49,True,standard,5,"[700, 700]",min_max_local,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 2.0]",0.0001,4,30
hs_50,True,standard,5,"[700, 700]",min_max_local,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 2.0]",0.0001,4,30
hs_51,True,standard,5,"[700, 700]",min_max_local,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[256],0.25,"[64, 32]",0.25,[128],0.25,weighted_CE,"[1.0, 2.0]",0.0001,4,30
hs_52,True,standard,5,"[700, 700]",min_max_local,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 4.0]",0.0001,4,30
hs_53,True,standard,5,"[700, 700]",min_max_local,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 4.0]",0.0001,4,30
hs_54,True,standard,5,"[700, 700]",min_max_local,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[256],0.25,"[64, 32]",0.25,[128],0.25,weighted_CE,"[1.0, 4.0]",0.0001,4,30
hs_55,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 2.0]",0.0001,4,30
hs_56,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 2.0]",0.0001,4,30
hs_57,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[256],0.25,"[64, 32]",0.25,[128],0.25,weighted_CE,"[1.0, 2.0]",0.0001,4,30
