version,use_good_ori_only,numerical_preprocess_normalization,numerical_preprocess_num_nearest_neighbor,image_preprocess_image_size,image_preprocess_normalization,image_preprocess_augmentation,image_preprocess_mask_dilation,dfu_classes,attention_type,encoder_filters,encoder_kernel_size,encoder_dropout_prob,encoder_normalization,num_group_norm,num_conv,ds_stride,imag_fcn,imag_dropout_prob,clin_fcn,clin_dropout_prob,mixed_fcn,mixed_dropout_prob,loss_name,class_weight,lr,batch_size,epoch_size
hs_1,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,4,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 1.0]",0.0001,8,30
hs_2,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,4,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 1.0]",0.0001,8,30
hs_3,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,4,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 2.0]",0.0001,8,30
hs_4,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,4,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 2.0]",0.0001,8,30
hs_5,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,4,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 4.0]",0.0001,8,30
hs_6,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,4,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 4.0]",0.0001,8,30
hs_7,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,8,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 1.0]",0.0001,8,30
hs_8,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,8,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 1.0]",0.0001,8,30
hs_9,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,8,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 2.0]",0.0001,8,30
hs_10,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,8,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 2.0]",0.0001,8,30
hs_11,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,8,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 4.0]",0.0001,8,30
hs_12,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,8,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 4.0]",0.0001,8,30
hs_13,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 1.0]",0.0001,8,30
hs_14,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 1.0]",0.0001,8,30
hs_15,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 2.0]",0.0001,8,30
hs_16,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 2.0]",0.0001,8,30
hs_17,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[64],0.25,"[64, 32]",0.25,[32],0.25,weighted_CE,"[1.0, 4.0]",0.0001,8,30
hs_18,True,standard,5,"[700, 700]",min_max_global,,0,2,1,"[16, 32, 64]",3,0.25,group,16,1,2,[128],0.25,"[64, 32]",0.25,[64],0.25,weighted_CE,"[1.0, 4.0]",0.0001,8,30
